UTC,Latitude,Longitude,Elevation (m),Time_since_190508,Temperature,Uncertainty
  2019-05-11T18:30:06.000Z,42.601666667,-73.841081667,54.8,267149,14.5,0
  2019-05-11T18:30:36.000Z,42.601666667,-73.841081667,54.8,267174,14.25,0
  2019-05-11T18:31:06.000Z,42.601668333,-73.841081667,54.9,267198,16.25,0
  2019-05-11T18:31:36.000Z,42.601668333,-73.841083333,54.9,267239,18,0
  2019-05-11T18:32:06.000Z,42.601248333,-73.838588333,146.3,267264,11,0
  2019-05-11T18:32:36.000Z,42.600898333,-73.83615,303.5,267299,9.5,0
  2019-05-11T18:33:06.000Z,42.600108333,-73.835281667,519.3,267322,5.25,0
  2019-05-11T18:33:36.000Z,42.59924,-73.834125,771.1,267360,5.5,0
  2019-05-11T18:34:06.000Z,42.597766667,-73.832368333,1036.1,267383,2.5,0
  2019-05-11T18:35:06.000Z,42.594945,-73.829323333,1472.6,267443,-1,0
  2019-05-11T18:36:36.000Z,42.59077,-73.82,1944,267533,4,0
