UTC,Latitude,Longitude,Elevation,Time_since_190508,Temperature,Pressure,Humidity,Uncertainty
2019-05-11T18:29:58.000Z,42.601666667,-73.841081667,54.7,264779,26.35,1011.68,19,0
2019-05-11T18:30:28.000Z,42.601666667,-73.841081667,54.8,264817,25.4,1011.65,19,0
2019-05-11T18:30:58.000Z,42.601668333,-73.841081667,54.8,264842,25.8,1011.28,19,0
2019-05-11T18:31:28.000Z,42.601668333,-73.841083333,54.9,264878,25.81,1011.17,20,0
2019-05-11T18:31:58.000Z,42.60132,-73.839398333,110.3,264903,25.29,1006.21,18,0
2019-05-11T18:32:58.000Z   ,42.600336667,-73.835345,460.7,264964,23.26,966.38,20,0
2019-05-11T18:33:28.000Z,42,-73.834561667,699.9,265000,21.9,935.74,21,1
2019-05-11T18:33:51.000Z,42.598153333,-73.832875,966.7,265023,21.06,912,22,1
2019-05-11T18:34:58.000Z,42.595188333,-73.829785,1413.4,265084,17.46,862.72,26,0
2019-05-11T18:35:16.000Z,42.594173333,-73.828278333,1605.8,265108,16.62,846.45,26,1
2019-05-11T18:35:58.000Z,42.592945,-73.827276667,1762.6,265145,15.13,824.73,27,0
2019-05-11T18:26:29.000Z,9999,9999,1912.9,265181,14.84,807.33,23,1
